AA	volcanic rock [n]
STERTOROUS	with a snoring sound [adj]
STERTOROUSLY	STERTOROUS, with a snoring sound [adj]
STERTOROUSNESS	STERTOROUS, with a snoring sound [adj]
STERTORS	STERTOR, laborious or noisy breathing [n]
STERVE	starve (die or suffer or cause to die or suffer from hunger)
STERVED	STERVE [v]
STERVES	STERVE [v]
STERVING	STERVE [v]
STET	instruction to ignore an alteration previously made [interj] / indicate to a printer that deleted matter is to be kept [v] / mark indicating that deleted matter is to be kept [n]
STETHOSCOPE	an instrument with which to listen to the sounds produced by the heart, lungs, etc [n]
STETHOSCOPES	STETHOSCOPE, an instrument with which to listen to the sounds produced by the heart, lungs, etc [n]
STETHOSCOPIC	STETHOSCOPE, an instrument with which to listen to the sounds produced by the heart, lungs, etc [n]
STETHOSCOPIES	<stethoscopy>
STETHOSCOPIST	one who uses a stethoscope [n]
STETHOSCOPISTS	STETHOSCOPIST, one who uses a stethoscope [n]
STETHOSCOPY	STETHOSCOPE, an instrument with which to listen to the sounds produced by the heart, lungs, etc [n]
STETS	STET, instruction to ignore an alteration previously made [interj]
STETSON	cowboy hat [n]
STETSONS	STETSON, cowboy hat [n]
STETTED	STET, instruction to ignore an alteration previously made [interj]
STETTING	STET, instruction to ignore an alteration previously made [interj]
STEVEDORE	person who loads and unloads ships [n] / load or unload (a ship, ship's cargo, etc) [v]
STEVEDORED	STEVEDORE, person who loads and unloads ships [n]
STEVEDORES	STEVEDORE, person who loads and unloads ships [n]
STEVEDORING	act of loading or unloading a ship [n]
STEVEDORINGS	STEVEDORING, act of loading or unloading a ship [n]
STEVEN	voice [n]
STEVENGRAPH	a silk picture woven in colours [n]
STEVENGRAPHS	STEVENGRAPH, a silk picture woven in colours [n]
STEVENS	STEVEN, voice [n]
STEVIA	any of a genus of plant with sweet leaves [n]
STEVIAS	STEVIA, any of a genus of plant with sweet leaves [n]
STEW	food cooked slowly in a closed pot [n] / cook slowly in a closed pot [v]
STEWABLE	STEW, food cooked slowly in a closed pot [n]
STEWARD	person who looks after passengers on a ship or aircraft [n] / act as a steward (of) [v]
STEWARDED	STEWARD, person who looks after passengers on a ship or aircraft [n]
STEWARDESS	a woman who looks after passengers on a ship or aircraft [n]
STEWARDESSES	STEWARDESS, a woman who looks after passengers on a ship or aircraft [n]
STEWARDING	STEWARD, person who looks after passengers on a ship or aircraft [n]
STEWARDRIES	STEWARDRY, office of steward [n]
STEWARDRY	office of steward [n]
STEWARDS	STEWARD, person who looks after passengers on a ship or aircraft [n]
STEWARDSHIP	STEWARD, person who looks after passengers on a ship or aircraft [n]
STEWARDSHIPS	STEWARD, person who looks after passengers on a ship or aircraft [n]
STEWARTRIES	<stewartry>
STEWARTRY	STEWARDRY, office of steward [n]
STEWBUM	drunkard (not_family) [n]
STEWBUMS	STEWBUM, drunkard (not_family) (not_family) [n]
STEWED	(of food) cooked by stewing [adj]
STEWER	STEW, food cooked slowly in a closed pot [n]
STEWERS	STEW, food cooked slowly in a closed pot [n]
STEWIER	STEW, food cooked slowly in a closed pot [n]
STEWIEST	STEW, food cooked slowly in a closed pot [n]
STEWING	STEW, food cooked slowly in a closed pot [n]
STEWINGS	STEW, food cooked slowly in a closed pot [n]
STEWPAN	pan used for making stew [n]
STEWPANS	STEWPAN, pan used for making stew [n]
STEWPOND	fishpond [n]
STEWPONDS	STEWPOND, fishpond [n]
STEWPOT	pot used for making stew [n]
STEWPOTS	STEWPOT, pot used for making stew [n]
STEWS	STEW, food cooked slowly in a closed pot (archaic) [n]
STEWY	STEW, food cooked slowly in a closed pot [n]
STEY	(Scots) steep [adj] / ladder [n]
STEYER	STEY, (Scots) steep [adj]
STEYEST	STEY, (Scots) steep [adj]
STEYS	STEY, (Scots) steep [adj]
STHENIA	abnormal strength [n]
STHENIAS	STHENIA, abnormal strength [n]
STHENIC	abounding in energy or bodily strength [adj]
STIACCIATO	very low relief, as on coins [n]
STIACCIATOS	STIACCIATO, very low relief, as on coins [n]
STIBBLE	STUBBLE, short stalks of grain left in a field after reaping [n]
STIBBLER	horse allowed to eat stubble [n]
STIBBLERS	<stibble>
STIBBLES	<stibble>
STIBIAL	<stibium>
STIBIALISM	antimony poisoning [n]
STIBIALISMS	STIBIALISM, antimony poisoning [n]
STIBINE	colourless slightly soluble poisonous gas [n]
STIBINES	STIBINE, colourless slightly soluble poisonous gas [n]
STIBIUM	ANTIMONY, brittle silvery-white metallic element [n]
STIBIUMS	<stibium>
STIBNITE	soft greyish mineral [n]
STIBNITES	STIBNITE, soft greyish mineral [n]
STICCADO	type of xylophone [n]
STICCADOES	STICCADO, type of xylophone [n]
STICCADOS	STICCADO, type of xylophone [n]
STICCATO	sticcado (type of xylophone)
STICCATOES	STICCATO [n]
STICCATOS	STICCATO [n]
STICH	line of poetry [n]
STICHARIA	priest's robes of the Greek Church [pl. n]
STICHARION	a vestment like an alb worn by Orthodox priests [n]
STICHARIONS	STICHARION, a vestment like an alb worn by Orthodox priests [n]
STICHERA	STICHERON, short hymn in the Greek Church [n]
STICHERON	short hymn in the Greek Church [n]
STICHIC	STICH, line of poetry [n]
STICHICALLY	STICH, line of poetry [n]
STICHIDIA	seaweed branches [pl. n]
STICHIDIUM	seaweed branch [n]
STICHOI	STICHOS, line of poem [n]
STICHOLOGIES	STICHOLOGY, metrical theory [n]
STICHOLOGY	metrical theory [n]
STICHOMETRIC	STICHOMETRY, numbering or counting lines in books or documents [n]
STICHOMETRICAL	relating to stichometry [adj]
STICHOMETRIES	STICHOMETRY, numbering or counting lines in books or documents [n]
STICHOMETRY	numbering or counting lines in books or documents [n]
STICHOMYTHIA	dialogue in alternate lines [n]
STICHOMYTHIAS	STICHOMYTHIA, dialogue in alternate lines [n]
STICHOMYTHIC	STICHOMYTHIA, dialogue in alternate lines [n]
STICHOMYTHIES	STICHOMYTHY [n]
STICHOMYTHY	stichomythia (dialogue in alternate lines)
STICHOS	line of poem [n]
STICHS	STICH, line of poetry [n]
STICK	long thin piece of wood [n] / push (a pointed object) into (something) [v]
STICKABILITIES	STICKABILITY, perseverance [n]
STICKABILITY	perseverance [n]
STICKABLE	STICK, long thin piece of wood [n]
STICKBALL	form of baseball played in the street [n]
STICKBALLS	STICKBALL, form of baseball played in the street [n]
STICKED	STICK, long thin piece of wood [n]
STICKER	adhesive label or sign [n] / put stickers on [v]
STICKERED	STICKER, adhesive label or sign [n]
STICKERING	STICKER, adhesive label or sign [n]
STICKERS	STICKER, adhesive label or sign [n]
STICKFUL	STICK, long thin piece of wood [n]
STICKFULS	STICK, long thin piece of wood [n]
STICKHANDLE	to manoeuvre a puck in hockey with a stick [v]
STICKHANDLED	STICKHANDLE, to manoeuvre a puck in hockey with a stick [v]
STICKHANDLER	STICKHANDLE, to manoeuvre a puck in hockey with a stick [v]
STICKHANDLERS	STICKHANDLE, to manoeuvre a puck in hockey with a stick [v]
STICKHANDLES	STICKHANDLE, to manoeuvre a puck in hockey with a stick [v]
STICKHANDLING	STICKHANDLE, to manoeuvre a puck in hockey with a stick [v]
STICKHANDLINGS	<stickhandling>
STICKIE	notepaper with an adhesive strip [n]
STICKIED	STICKY, covered with an adhesive substance [adj]
STICKIER	STICKY, covered with an adhesive substance [adj]
STICKIES	STICKIE, notepaper with an adhesive strip [n]
STICKIEST	STICKY, covered with an adhesive substance [adj]
STICKILY	STICKY, covered with an adhesive substance [adj]
STICKINESS	STICKY, covered with an adhesive substance [adj]
STICKINESSES	<stickiness>
STICKING	STICK, long thin piece of wood [n]
STICKINGS	STICK, long thin piece of wood [n]
STICKIT	STUCK, thrust [n]
STICKJAW	stodgy food [n]
STICKJAWS	STICKJAW, stodgy food [n]
STICKLE	dispute stubbornly, esp about minor points [v]
STICKLEADER	the leader of a stick of paratroops [n]
STICKLEADERS	STICKLEADER, the leader of a stick of paratroops [n]
STICKLEBACK	a freshwater fish with a spiny back [n]
STICKLEBACKS	STICKLEBACK, a freshwater fish with a spiny back [n]
STICKLED	STICKLE, dispute stubbornly, esp about minor points [v]
STICKLER	person who insists on something [n]
STICKLERS	STICKLER, person who insists on something [n]
STICKLES	STICKLE, dispute stubbornly, esp about minor points [v]
STICKLIKE	STICK, long thin piece of wood [n]
STICKLING	act of making insistent demands [n]
STICKLINGS	STICKLING, act of making insistent demands [n]
STICKMAN	human figure drawn in thin strokes [n]
STICKMEN	STICKMAN, human figure drawn in thin strokes [n]
STICKOUT	conspicuous person or thing [n]
STICKOUTS	STICKOUT, conspicuous person or thing [n]
STICKPIN	tiepin [n]
STICKPINS	STICKPIN, tiepin [n]
STICKS	STICK, long thin piece of wood [n]
STICKSEED	type of Eurasian and North American plant [n]
STICKSEEDS	STICKSEED, type of Eurasian and North American plant [n]
STICKTIGHT	a plant with sticky burs [n]
STICKTIGHTS	STICKTIGHT, a plant with sticky burs [n]
STICKUM	adhesive [n]
STICKUMS	STICKUM, adhesive [n]
STICKUP	robbery at gun-point [n]
STICKUPS	STICKUP, robbery at gun-point [n]
STICKWEED	any of several plants that have clinging fruits or seeds, esp the ragweed [n]
STICKWEEDS	STICKWEED, any of several plants that have clinging fruits or seeds, esp the ragweed [n]
STICKWORK	use of stick in hockey [n]
STICKWORKS	STICKWORK, use of stick in hockey [n]
STICKY	covered with an adhesive substance [adj] / make sticky [v] / inquisitive look or stare [n]
STICKYBEAK	a prying person [n] / to pry [v]
STICKYBEAKED	STICKYBEAK, a prying person [n]
STICKYBEAKING	STICKYBEAK, a prying person [n]
STICKYBEAKS	STICKYBEAK, a prying person [n]
STICKYING	STICKY, covered with an adhesive substance [adj]
STICTION	frictional force to be overcome to set one object in motion when it is in contact with another [n]
STICTIONS	STICTION, frictional force to be overcome to set one object in motion when it is in contact with another [n]
STIDDIE	stithy (forge or anvil)
STIDDIED	STIDDIE [n]
STIDDIEING	STIDDIE [n]
STIDDIES	STIDDIE [n]
STIE	sty (climb)
STIED	STY, climb [v]
STIES	STY, climb [v]
STIEVE	steeve (spar having a pulley block at one end)
STIEVELY	STIEVE [n]
STIEVER	STIEVE [n]
STIEVEST	STIEVE [n]
STIFADO	Greek beef stew [n]
STIFADOS	STIFADO, Greek beef stew [n]
STIFF	not easily bent or moved [adj] / loser or failure [n] / completely or utterly [adv] / fail completely [v]
STIFFED	STIFF, not easily bent or moved [adj]
STIFFEN	make or become stiff [v]
STIFFENED	STIFFEN, make or become stiff [v]
STIFFENER	STIFFEN, make or become stiff [v]
STIFFENERS	STIFFEN, make or become stiff [v]
STIFFENING	STIFFEN, make or become stiff [v]
STIFFENINGS	STIFFEN, make or become stiff [v]
STIFFENS	STIFFEN, make or become stiff [v]
STIFFER	STIFF, not easily bent or moved [adj]
STIFFEST	STIFF, not easily bent or moved [adj]
STIFFIE	vulgar word for an erection of the penis (slang, not_family) [n]
STIFFIES	STIFFIE, vulgar word for an erection of the penis (slang, not_family) (slang, not_family) [n]
STIFFING	STIFF, not easily bent or moved [adj]
STIFFISH	STIFF, not easily bent or moved [adj]
STIFFLY	STIFF, not easily bent or moved [adj]
STIFFNESS	STIFF, not easily bent or moved [adj]
STIFFNESSES	<stiffness>
STIFFS	STIFF, not easily bent or moved [adj]
STIFFWARE	computer software that is hard to modify [n]
STIFFWARES	STIFFWARE, computer software that is hard to modify [n]
STIFFY	vulgar word for an erection of the penis (slang, not_family) [n]
STIFLE	suppress [v] / joint in the hind leg of a horse, dog, etc [n]
STIFLED	STIFLE, suppress [v]
STIFLER	STIFLE, suppress [v]
STIFLERS	STIFLE, suppress [v]
STIFLES	STIFLE, suppress [v]
STIFLING	uncomfortably hot and stuffy [adj]
STIFLINGLY	STIFLING, uncomfortably hot and stuffy [adj]
STIFLINGS	STIFLING, uncomfortably hot and stuffy [adj]
STIGMA	mark of social disgrace [n]
STIGMAL	of part of insect wing [adj]
STIGMARIAN	the pitted underground part of Sigillaria or other fossil tree [n]
STIGMARIANS	STIGMARIAN, the pitted underground part of Sigillaria or other fossil tree [n]
STIGMAS	STIGMA, mark of social disgrace [n]
STIGMASTEROL	a crystalline sterol obtained especially from soybean oil [n]
STIGMASTEROLS	STIGMASTEROL, a crystalline sterol obtained especially from soybean oil [n]
STIGMATA	STIGMA, mark of social disgrace [n]
STIGMATIC	relating to or having a stigma or stigmata [adj] / person marked with the stigmata [n]
STIGMATICAL	STIGMA, mark of social disgrace [n]
STIGMATICALLY	<stigmatical>
STIGMATICS	STIGMATIC, relating to or having a stigma or stigmata [adj]
STIGMATIFEROUS	bearing stigma [adj]
STIGMATISATION	the process of stigmatising [n]
STIGMATISATIONS	STIGMATISATION, the process of stigmatising [n]
STIGMATISE	stigmatize (to mark with a stigma, or brand)
STIGMATISED	STIGMATISE [v]
STIGMATISER	one who stigmatises [n]
STIGMATISERS	STIGMATISER, one who stigmatises [n]
STIGMATISES	STIGMATISE [v]
STIGMATISING	STIGMATISE [v]
STIGMATISM	the impression of stigmata [n]
STIGMATISMS	STIGMATISM, the impression of stigmata [n]
STIGMATIST	a person who bears stigmata [n]
STIGMATISTS	STIGMATIST, a person who bears stigmata [n]
STIGMATIZATION	STIGMATIZE, to mark with a stigma, or brand [v]
STIGMATIZATIONS	STIGMATIZE, to mark with a stigma, or brand [v]
STIGMATIZE	to mark with a stigma, or brand [v]
STIGMATIZED	STIGMATIZE, to mark with a stigma, or brand [v]
STIGMATIZER	STIGMATIZE, to mark with a stigma, or brand [v]
STIGMATIZERS	STIGMATIZE, to mark with a stigma, or brand [v]
STIGMATIZES	STIGMATIZE, to mark with a stigma, or brand [v]
STIGMATIZING	STIGMATIZE, to mark with a stigma, or brand [v]
STIGMATOPHILIA	an obsession with tattooing or branding [n]
STIGMATOPHILIAS	STIGMATOPHILIA, an obsession with tattooing or branding [n]
STIGMATOPHILIST	person with stigmatophilia [n]
STIGMATOSE	stigmatic [adj]
STIGME	dot in Greek punctuation [n]
STIGMES	STIGME, dot in Greek punctuation [n]
STILB	unit of luminance [n]
STILBENE	colourless or slightly yellow crystalline hydrocarbon used in the manufacture of dyes [n]
STILBENES	STILBENE, colourless or slightly yellow crystalline hydrocarbon used in the manufacture of dyes [n]
STILBESTROL	a synthetic oestrogen [n]
STILBESTROLS	STILBESTROL, a synthetic oestrogen [n]
STILBITE	white or yellow zeolite mineral [n]
STILBITES	STILBITE, white or yellow zeolite mineral [n]
STILBOESTROL	stilbestrol (a synthetic oestrogen)
STILBOESTROLS	STILBOESTROL [n]
STILBS	STILB, unit of luminance [n]
STILE	style (shape or design)
STILED	STILE [n]
STILES	STILE [n]
STILET	stylet (wire to stiffen a flexible cannula or catheter)
STILETS	STILET [n]
STILETTO	small narrow dagger [n] / stab with a stiletto [v]
STILETTOED	STILETTO, small narrow dagger [n]
STILETTOES	STILETTO, small narrow dagger [n]
STILETTOING	STILETTO, small narrow dagger [n]
STILETTOS	STILETTO, small narrow dagger [n]
STILING	STILE [n]
STILL	now or in the future as before [adv] / motionless [adj] / calmness; apparatus for distillation [n] / make still [v]
STILLAGE	frame or stand for keeping things off the ground, such as casks in a brewery [n]
STILLAGES	STILLAGE, frame or stand for keeping things off the ground, such as casks in a brewery [n]
STILLATORIES	STILLATORY, a still, a distillery [n]
STILLATORY	a still, a distillery [n]
STILLBIRTH	the birth of a dead foetus [n]
STILLBIRTHS	STILLBIRTH, the birth of a dead foetus [n]
STILLBORN	born dead [adj] / stillborn fetus or baby [n]
STILLBORNS	STILLBORN, born dead [adj]
STILLED	STILL, now or in the future as before [adv]
STILLER	STILL, now or in the future as before [adv]
STILLERS	STILL, now or in the future as before [adv]
STILLEST	STILL, now or in the future as before [adv]
STILLHOUSE	distillery [n]
STILLHOUSES	STILLHOUSE, distillery [n]
STILLICIDE	a succession of drops of water, esp falling from the eaves of a house [n]
STILLICIDES	STILLICIDE, a succession of drops of water, esp falling from the eaves of a house [n]
STILLIER	STILLY, quietly or calmly [adv]
STILLIEST	STILLY, quietly or calmly [adv]
STILLIFORM	having the shape of a drop or globule [adj]
STILLING	STILL, now or in the future as before [adv]
STILLINGS	STILL, now or in the future as before [adv]
STILLION	stand for cask [n]
STILLIONS	STILLION, stand for cask [n]
STILLMAN	someone involved in the operation of a still [n]
STILLMEN	STILLMAN, someone involved in the operation of a still [n]
STILLNESS	STILL, now or in the future as before [adv]
STILLNESSES	STILL, now or in the future as before [adv]
STILLROOM	room in which distilling is carried out [n]
STILLROOMS	STILLROOM, room in which distilling is carried out [n]
STILLS	STILL, now or in the future as before [adv]
STILLSON	type of wrench [n]
STILLSONS	STILLSON, type of wrench [n]
STILLY	quietly or calmly [adv] / still, quiet, or calm [adj]
STILPNOSIDERITE	another name for limonite [n]
STILT	either of a pair of long poles with footrests for walking raised from the ground [n] / raise or place on or as if on stilts [v]
STILTBIRD	long-legged wading bird [n]
STILTBIRDS	STILTBIRD, long-legged wading bird [n]
STILTED	stiff and formal in manner [adj]
STILTEDLY	STILTED, stiff and formal in manner [adj]
STILTEDNESS	STILTED, stiff and formal in manner [adj]
STILTEDNESSES	<stiltedness>
STILTER	STILT, either of a pair of long poles with footrests for walking raised from the ground [n]
STILTERS	STILT, either of a pair of long poles with footrests for walking raised from the ground [n]
STILTIER	STILT, either of a pair of long poles with footrests for walking raised from the ground [n]
STILTIEST	STILT, either of a pair of long poles with footrests for walking raised from the ground [n]
STILTINESS	the quality of being stilted [n]
STILTINESSES	STILTINESS, the quality of being stilted [n]
STILTING	STILT, either of a pair of long poles with footrests for walking raised from the ground [n]
STILTINGS	STILT, either of a pair of long poles with footrests for walking raised from the ground [n]
STILTISH	STILT, either of a pair of long poles with footrests for walking raised from the ground [n]
STILTLIKE	like a stilt [adj]
STILTS	STILT, either of a pair of long poles with footrests for walking raised from the ground [n]
STILTY	STILT, either of a pair of long poles with footrests for walking raised from the ground [n]
STIM	repeat a movement or sound [v]
STIME	styme (peer)
STIMED	STIME [v]
STIMES	STIME [v]
STIMIE	stymie (hinder or thwart)
STIMIED	STIMIE [v]
STIMIES	STIMIE [v]
STIMING	STIME [v]
STIMMED	STIM, repeat a movement or sound [v]
STIMMING	prolonged repetition of certain movements or sounds [n]
STIMMINGS	STIMMING, prolonged repetition of certain movements or sounds [n]
STIMPMETER	machine used to measure the speed of a putting green [n]
STIMPMETERS	STIMPMETER, machine used to measure the speed of a putting green [n]
STIMS	STIM, repeat a movement or sound [v]
STIMULABLE	STIMULATE, act as a stimulus (on) [v]
STIMULANCIES	STIMULANCY, the quality of being stimulating [n]
STIMULANCY	the quality of being stimulating [n]
STIMULANT	something, such as a drug, that acts as a stimulus [n] / stimulating [adj]
STIMULANTS	STIMULANT, something, such as a drug, that acts as a stimulus [n]
STIMULATE	act as a stimulus (on) [v]
STIMULATED	STIMULATE, act as a stimulus (on) [v]
STIMULATER	an agent that stimulates [n]
STIMULATERS	STIMULATER, an agent that stimulates [n]
STIMULATES	STIMULATE, act as a stimulus (on) [v]
STIMULATING	exciting [adj]
STIMULATINGLY	STIMULATING, exciting [adj]
STIMULATION	STIMULATE, act as a stimulus (on) [v]
STIMULATIONS	STIMULATE, act as a stimulus (on) [v]
STIMULATIVE	STIMULATE, act as a stimulus (on) [v]
STIMULATIVES	STIMULATE, act as a stimulus (on) [v]
STIMULATOR	STIMULATE, act as a stimulus (on) [v]
STIMULATORS	STIMULATE, act as a stimulus (on) [v]
STIMULATORY	STIMULATE, act as a stimulus (on) [v]
STIMULI	STIMULUS, something that rouses a person or thing to activity [n]
STIMULUS	something that rouses a person or thing to activity [n]
STIMY	stymie (hinder or thwart)
STIMYING	STIMY [v]
STING	(of certain animals or plants) wound by injecting with poison [v] / wound or pain caused by or as if by stinging [n]
STINGAREE	STINGRAY, flatfish capable of inflicting painful wounds [n]
STINGAREES	<stingaree>
STINGBULL	spiny fish [n]
STINGBULLS	STINGBULL, spiny fish [n]
STINGE	stingy or miserly person [n]
STINGED	STING, (of certain animals or plants) wound by injecting with poison [v]
STINGER	person, plant, animal, etc, that stings or hurts [n]
STINGERS	STINGER, person, plant, animal, etc, that stings or hurts [n]
STINGES	STINGE, stingy or miserly person [n]
STINGFISH	stingbull (spiny fish)
STINGFISHES	STINGFISH [n]
STINGIER	STINGY, mean or miserly [adj]
STINGIES	STINGY, mean or miserly [adj]
STINGIEST	STINGY, mean or miserly [adj]
STINGILY	STINGY, mean or miserly [adj]
STINGINESS	STINGY, mean or miserly [adj]
STINGINESSES	<stinginess>
STINGING	STING, (of certain animals or plants) wound by injecting with poison [v]
STINGINGLY	STING, (of certain animals or plants) wound by injecting with poison [v]
STINGINGNESS	STING, (of certain animals or plants) wound by injecting with poison [v]
STINGINGNESSES	<stingingness>
STINGINGS	STING, (of certain animals or plants) wound by injecting with poison [v]
STINGLESS	STING, (of certain animals or plants) wound by injecting with poison [v]
STINGO	strong alcohol [n]
STINGOS	STINGO, strong alcohol [n]
STINGRAY	flatfish capable of inflicting painful wounds [n]
STINGRAYS	STINGRAY, flatfish capable of inflicting painful wounds [n]
STINGS	STING, (of certain animals or plants) wound by injecting with poison [v]
STINGY	mean or miserly [adj] / stinging nettle [n]
STINK	strong unpleasant smell [n] / give off a strong unpleasant smell [v]
STINKARD	smelly person [n]
STINKARDS	STINKARD, smelly person [n]
STINKBIRD	hoatzin (South American bird)
STINKBIRDS	STINKBIRD [n]
STINKBUG	type of insect that releases an unpleasant odour [n]
STINKBUGS	STINKBUG, type of insect that releases an unpleasant odour [n]
STINKER	difficult or unpleasant person or thing [n]
STINKEROO	bad or contemptible person or thing [n]
STINKEROOS	STINKEROO, bad or contemptible person or thing [n]
STINKERS	STINKER, difficult or unpleasant person or thing [n]
STINKHORN	type of fungus with an offensive odour [n]
STINKHORNS	STINKHORN, type of fungus with an offensive odour [n]
STINKIER	STINKY, having a foul smell [adj]
STINKIEST	STINKY, having a foul smell [adj]
STINKING	STINK, strong unpleasant smell [n]
STINKINGLY	STINK, strong unpleasant smell [n]
STINKINGNESS	STINK, strong unpleasant smell [n]
STINKINGNESSES	<stinkingness>
STINKO	drunk [adj]
STINKPOT	thing that stinks [n]
STINKPOTS	STINKPOT, thing that stinks [n]
STINKS	STINK, strong unpleasant smell [n]
STINKSTONE	a limestone that gives a fetid smell when struck [n]
STINKSTONES	STINKSTONE, a limestone that gives a fetid smell when struck [n]
STINKWEED	plant that has a disagreeable smell when bruised [n]
STINKWEEDS	STINKWEED, plant that has a disagreeable smell when bruised [n]
STINKWOOD	any of various trees having offensive-smelling wood [n]
STINKWOODS	STINKWOOD, any of various trees having offensive-smelling wood [n]
STINKY	having a foul smell [adj]
STINT	be miserly with (something) [v] / allotted amount of work [n]
STINTED	STINT, be miserly with (something) [v]
STINTEDLY	STINT, be miserly with (something) [v]
STINTEDNESS	the state of being stinted [n]
STINTEDNESSES	STINTEDNESS, the state of being stinted [n]
STINTER	STINT, be miserly with (something) [v]
STINTERS	STINT, be miserly with (something) [v]
STINTIER	STINT, be miserly with (something) [v]
STINTIEST	STINT, be miserly with (something) [v]
STINTING	STINT, be miserly with (something) [v]
STINTINGLY	STINT, be miserly with (something) [v]
STINTINGS	STINT, be miserly with (something) [v]
STINTLESS	STINT, be miserly with (something) [v]
STINTS	STINT, be miserly with (something) [v]
STINTY	STINT, be miserly with (something) [v]
STIPA	variety of grass [n]
STIPAS	STIPA, variety of grass [n]
STIPE	stalk in plants that bears reproductive structures [n]
STIPED	stipitate (possessing or borne on the end of a stipe)
STIPEL	small paired leaflike structure at the base of certain leaflets [n]
STIPELLATE	STIPEL, small paired leaflike structure at the base of certain leaflets [n]
STIPELS	STIPEL, small paired leaflike structure at the base of certain leaflets [n]
STIPEND	regular allowance or salary [n]
STIPENDIARIES	STIPENDIARY, one who receives a stipend [n]
STIPENDIARY	one who receives a stipend [n]
STIPENDIATE	to provide with a salary [v]
STIPENDIATED	STIPENDIATE, to provide with a salary [v]
STIPENDIATES	STIPENDIATE, to provide with a salary [v]
STIPENDIATING	STIPENDIATE, to provide with a salary [v]
STIPENDS	STIPEND, regular allowance or salary [n]
STIPES	second maxillary segment in insects and crustaceans [n]
STIPIFORM	STIPES, second maxillary segment in insects and crustaceans [n]
STIPITATE	possessing or borne on the end of a stipe [adj]
STIPITES	STIPES, second maxillary segment in insects and crustaceans [n]
STIPITIFORM	in the form of a stipes [adj]
STIPPLE	paint, draw, or engrave using dots [v] / technique of stippling [n]
STIPPLED	STIPPLE, paint, draw, or engrave using dots [v]
STIPPLER	STIPPLE, paint, draw, or engrave using dots [v]
STIPPLERS	STIPPLE, paint, draw, or engrave using dots [v]
STIPPLES	STIPPLE, paint, draw, or engrave using dots [v]
STIPPLING	STIPPLE, paint, draw, or engrave using dots [v]
STIPPLINGS	<stippling>
STIPULABLE	STIPULATE, specify as a condition of an agreement [v]
STIPULACEOUS	having stipules [adj]
STIPULAR	STIPULE, small paired usually leaflike outgrowth occurring at the base of a leaf or its stalk [n]
STIPULARY	STIPULE, small paired usually leaflike outgrowth occurring at the base of a leaf or its stalk [n]
STIPULATE	specify as a condition of an agreement [v] / (of a plant) having stipules [adj]
STIPULATED	STIPULATE, specify as a condition of an agreement [v]
STIPULATES	STIPULATE, specify as a condition of an agreement [v]
STIPULATING	STIPULATE, specify as a condition of an agreement [v]
STIPULATION	STIPULATE, specify as a condition of an agreement [v]
STIPULATIONS	STIPULATE, specify as a condition of an agreement [v]
STIPULATOR	STIPULATE, specify as a condition of an agreement [v]
STIPULATORS	STIPULATE, specify as a condition of an agreement [v]
STIPULATORY	STIPULATE, specify as a condition of an agreement [v]
STIPULE	small paired usually leaflike outgrowth occurring at the base of a leaf or its stalk [n]
STIPULED	STIPULE, small paired usually leaflike outgrowth occurring at the base of a leaf or its stalk [n]
STIPULES	STIPULE, small paired usually leaflike outgrowth occurring at the base of a leaf or its stalk [n]
STIR	mix up (a liquid) by moving a spoon etc around in it [v] / stirring [n]
STIRABOUT	kind of porridge originally made in Ireland [n]
STIRABOUTS	STIRABOUT, kind of porridge originally made in Ireland [n]
STIRE	steer (direct the course of (a vehicle or ship))
STIRED	STIRE [v]
STIRES	STIRE [v]
STIRING	STIRE [v]
STIRK	heifer of 6 to 12 months old [n]
STIRKS	STIRK, heifer of 6 to 12 months old [n]
STIRLESS	STIR, mix up (a liquid) by moving a spoon etc around in it [v]
STIRP	stirps (line of descendants from an ancestor)
STIRPES	STIRPS, line of descendants from an ancestor [n]
STIRPICULTURE	selective breeding [n]
STIRPICULTURES	STIRPICULTURE, selective breeding [n]
STIRPS	line of descendants from an ancestor [n]
STIRRA	{sirra}
STIRRABLE	STIR, mix up (a liquid) by moving a spoon etc around in it [v]
STIRRAH	sirrah (contemptuous term used in addressing a man or boy (archaic)) (archaic)
STIRRAHS	STIRRAH [n]
STIRRAS	<stirra>
STIRRE	steer (direct the course of (a vehicle or ship))
STIRRED	STIR, mix up (a liquid) by moving a spoon etc around in it [v]
STIRRER	person who deliberately causes trouble [n]
STIRRERS	STIRRER, person who deliberately causes trouble [n]
STIRRES	STIRRE [v]
STIRRING	STIR, mix up (a liquid) by moving a spoon etc around in it [v]
STIRRINGLY	STIR, mix up (a liquid) by moving a spoon etc around in it [v]
STIRRINGS	STIR, mix up (a liquid) by moving a spoon etc around in it [v]
STIRRUP	metal loop attached to a saddle for supporting a rider's foot [n]
STIRRUPS	STIRRUP, metal loop attached to a saddle for supporting a rider's foot [n]
STIRS	STIR, mix up (a liquid) by moving a spoon etc around in it [v]
STISHIE	stushie (commotion, rumpus, or row)
STISHIES	STISHIE [n]
STITCH	link made by drawing thread through material with a needle [n] / sew [v]
STITCHCRAFT	needlework [n]
STITCHCRAFTS	STITCHCRAFT, needlework [n]
STITCHED	STITCH, link made by drawing thread through material with a needle [n]
STITCHER	STITCH, link made by drawing thread through material with a needle [n]
STITCHERIES	STITCHERY, needlework, esp modern embroidery [n]
