AA	volcanic rock [n]
ABOULIC	ABOULIA [n]
ABOUND	be plentiful [v]
ABOUNDED	ABOUND, be plentiful [v]
ABOUNDING	ABOUND, be plentiful [v]
ABOUNDS	ABOUND, be plentiful [v]
ABOUT	nearly, approximately [adv]
ABOUTS	about [prep]
ABOVE	higher (than) [adv] / something that is above [n]
ABOVEBOARD	in a straightforward manner [adj]
ABOVEGROUND	not under the ground [adj]
ABOVES	ABOVE, higher (than) [adv]
ABRACADABRA	magic word [n]
ABRACADABRAS	ABRACADABRA, magic word [n]
ABRACHIA	condition of having no arms [n]
ABRACHIAS	ABRACHIA, condition of having no arms [n]
ABRADABLE	ABRADE, wear down by friction [v]
ABRADANT	ABRADE, wear down by friction [v]
ABRADANTS	ABRADE, wear down by friction [v]
ABRADE	wear down by friction [v]
ABRADED	ABRADE, wear down by friction [v]
ABRADER	ABRADE, wear down by friction [v]
ABRADERS	ABRADE, wear down by friction [v]
ABRADES	ABRADE, wear down by friction [v]
ABRADING	ABRADE, wear down by friction [v]
ABRAID	awake (archaic) [v]
ABRAIDED	ABRAID, awake (archaic) (archaic) [v]
ABRAIDING	ABRAID, awake (archaic) (archaic) [v]
ABRAIDS	ABRAID, awake (archaic) (archaic) [v]
ABRAM	auburn [adj]
ABRANCHIAL	abranchiate (lacking gills)
ABRANCHIATE	lacking gills [adj]
ABRASAX	abraxas (ancient charm composed of Greek letters)
ABRASAXES	ABRASAX [n]
ABRASION	scraped area on the skin [n]
ABRASIONS	ABRASION, scraped area on the skin [n]
ABRASIVE	harsh and unpleasant [adj] / substance for cleaning [n]
ABRASIVELY	ABRASIVE, harsh and unpleasant [adj]
ABRASIVENESS	ABRASIVE, harsh and unpleasant [adj]
ABRASIVENESSES	ABRASIVE, harsh and unpleasant [adj]
ABRASIVES	ABRASIVE, harsh and unpleasant [adj]
ABRAXAS	ancient charm composed of Greek letters [n]
ABRAXASES	ABRAXAS, ancient charm composed of Greek letters [n]
ABRAY	awake [v]
ABRAYED	ABRAY, awake [v]
ABRAYING	ABRAY, awake [v]
ABRAYS	ABRAY, awake [v]
ABRAZO	embrace [n]
ABRAZOS	ABRAZO, embrace [n]
ABREACT	alleviate through abreaction [v]
ABREACTED	ABREACT, alleviate through abreaction [v]
ABREACTING	ABREACT, alleviate through abreaction [v]
ABREACTION	resolution of a neurosis [n]
ABREACTIONS	ABREACTION, resolution of a neurosis [n]
ABREACTIVE	ABREACTION, resolution of a neurosis [n]
ABREACTS	ABREACT, alleviate through abreaction [v]
ABREAST	side by side [adj]
ABREGE	abridgment [n]
ABREGES	ABREGE, abridgment [n]
ABRI	shelter or place of refuge, esp in wartime [n]
ABRICOCK	apricot [n]
ABRICOCKS	ABRICOCK, apricot [n]
ABRIDGABLE	ABRIDGE, shorten by using fewer words [v]
ABRIDGE	shorten by using fewer words [v]
ABRIDGEABLE	ABRIDGE, shorten by using fewer words [v]
ABRIDGED	ABRIDGE, shorten by using fewer words [v]
ABRIDGEMENT	abridgment (the act of abridging)
ABRIDGEMENTS	ABRIDGEMENT [n]
ABRIDGER	ABRIDGE, shorten by using fewer words [v]
ABRIDGERS	ABRIDGE, shorten by using fewer words [v]
ABRIDGES	ABRIDGE, shorten by using fewer words [v]
ABRIDGING	ABRIDGE, shorten by using fewer words [v]
ABRIDGMENT	the act of abridging [n]
ABRIDGMENTS	ABRIDGMENT, the act of abridging [n]
ABRIM	full to the brim [adj]
ABRIN	poisonous compound [n]
ABRINS	ABRIN, poisonous compound [n]
ABRIS	ABRI, shelter or place of refuge, esp in wartime [n]
ABROACH	(of a cask, barrel, etc) tapped [adj]
ABROAD	in a foreign country [adv] / in general circulation [adj] / foreign place [n]
ABROADS	ABROAD, in a foreign country [adv]
ABROGABLE	able to be abrogated [adj]
ABROGATE	cancel (a law or agreement) formally [v]
ABROGATED	ABROGATE, cancel (a law or agreement) formally [v]
ABROGATES	ABROGATE, cancel (a law or agreement) formally [v]
ABROGATING	ABROGATE, cancel (a law or agreement) formally [v]
ABROGATION	ABROGATE, cancel (a law or agreement) formally [v]
ABROGATIONS	ABROGATE, cancel (a law or agreement) formally [v]
ABROGATIVE	ABROGATE, cancel (a law or agreement) formally [v]
ABROGATOR	ABROGATE, cancel (a law or agreement) formally [v]
ABROGATORS	ABROGATE, cancel (a law or agreement) formally [v]
ABROOKE	bear or tolerate [v]
ABROOKED	ABROOKE, bear or tolerate [v]
ABROOKES	ABROOKE, bear or tolerate [v]
ABROOKING	ABROOKE, bear or tolerate [v]
